"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.10207_t",159094000,259751000,232326000,214481000,263502000,194446000,167953000,190571000,128610000,148231000,409645000,154154000,79054300,83453400,224285000,235948000,256745000,115940000,230034000,81871600,95594300,188620000,120453000,167092000,91569800,159258000,262726000,182206000,98558800,124535000,122030000,161230000,94119700,298041000,213753000,115282000
"Montipora_capitata_HIv3___RNAseq.10831_t",2055050,5275820,827488,3656620,1319070,4014280,3108420,2935630,3467820,1693100,1534070,3188610,1566220,2497590,4086920,1256920,3572350,1794230,1248590,1425220,2812840,2683360,2299190,1298150,2618480,1825160,1011200,1755690,1528770,1920930,2125150,3456640,2162050,899113,1925610,5190230
"Montipora_capitata_HIv3___RNAseq.13700_t",NA,NA,425807,NA,810854,490346,498698,881796,NA,559702,NA,NA,NA,534026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713823,NA,NA,NA,NA,NA,464873,547219,NA
"Montipora_capitata_HIv3___RNAseq.13784_t",NA,NA,481036,735165,607385,1836170,1655390,1629550,2196690,NA,714873,633055,1769500,969475,1180970,840233,688150,1667580,931097,948388,1550840,587759,1501540,898511,1084180,657327,644107,1038050,NA,2601940,2063830,1546870,1333970,581879,912024,769950
"Montipora_capitata_HIv3___RNAseq.14659_t",421680,838594,616710,1135830,703365,337010,NA,NA,NA,NA,NA,375734,NA,NA,NA,2157380,1118490,NA,621750,NA,NA,549216,NA,417663,NA,NA,1844260,794837,NA,NA,NA,NA,NA,911279,1159520,NA
"Montipora_capitata_HIv3___RNAseq.14688_t",4133200,9419300,4023540,3513120,2030670,3727000,6836160,3056610,3381220,5436180,7120010,5797740,3970680,3035450,6343660,3506680,6900760,4389800,5277700,3889220,3731330,5156950,5081860,3491440,5905820,5747990,4181980,3844400,6198340,4373020,5816410,4758640,3876520,4552080,3075740,6577220
"Montipora_capitata_HIv3___RNAseq.14934_t",43224900,36960600,28997600,36217400,30114200,46579100,40963600,41945000,47652800,28828300,18096200,30770400,32577700,37560700,45682000,34402000,30739700,34730800,43003700,33396700,43334200,38574100,43513400,49725400,31902800,36262000,25079000,26496000,49504200,34637200,25977600,39586300,32791000,30029700,29159200,39912500
"Montipora_capitata_HIv3___RNAseq.15131_t;Montipora_capitata_HIv3___RNAseq.50707_t;Montipora_capitata_HIv3___RNAseq.51098_t;Montipora_capitata_HIv3___RNAseq.52414_t;Montipora_capitata_HIv3___RNAseq.g12282.t1;Montipora_capitata_HIv3___RNAseq.g12283.t1;Montipora_capitata_HIv3___RNAseq.g12287.t1;Montipora_capitata_HIv3___RNAseq.g27325.t1;Montipora_capitata_HIv3___RNAseq.g29646.t1;Montipora_capitata_HIv3___RNAseq.g41634.t1;Montipora_capitata_HIv3___RNAseq.g8174.t1;Montipora_capitata_HIv3___RNAseq.g8269.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16988600,2851210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.1525_t",523318,NA,388677,879174,374648,1072740,665928,654433,1213370,521258,256425,753605,695572,919836,426738,365405,291135,768444,682887,832932,618245,583608,904242,547535,675388,360325,462497,941281,943323,997476,1464150,770899,944356,298696,453227,891223
"Montipora_capitata_HIv3___RNAseq.1535_t",699948,3181190,NA,3230360,NA,7052980,5014500,5663210,919763,1130080,NA,NA,864639,NA,2263180,2825300,3491840,2046010,4452450,NA,NA,4031450,NA,NA,NA,2740130,254220,NA,NA,NA,NA,4713360,NA,2078520,NA,NA
"Montipora_capitata_HIv3___RNAseq.15888_t",6419100,7529070,5175990,5664200,8066780,5264040,4959830,5385500,5903880,6405670,7081960,5423510,1984500,6336380,6672120,8414340,5748820,2974460,5867050,2121390,4284630,6924060,5160070,6368620,3621790,5216680,9918760,8364630,1888170,3780700,1737010,4734800,4622020,9823410,8555060,5190620
"Montipora_capitata_HIv3___RNAseq.17512_t",4989600,172446000,13782900,13641500,4895080,6967330,17641500,8334030,2579870,26856400,5331370,NA,NA,NA,19188100,83328000,117708000,NA,87745900,1607560,1331860,24562200,NA,NA,NA,24229500,NA,NA,2920550,1723240,1390060,14846500,2035850,NA,1951160,15264000
"Montipora_capitata_HIv3___RNAseq.17705_t",NA,NA,NA,NA,844387,891215,1322400,430608,239057,NA,NA,1616310,NA,449015,540748,NA,NA,755008,NA,NA,NA,974732,834212,NA,NA,NA,532695,403849,NA,NA,NA,NA,335027,423035,NA,NA
"Montipora_capitata_HIv3___RNAseq.17733_t",2064730,NA,3195430,1562900,3621240,2155630,2065620,3099470,2632360,2027110,2745920,895339,2718080,1808910,NA,NA,1618000,2692230,NA,NA,2688340,960780,3958150,1299540,2318390,855416,2379730,1420060,NA,2270590,3473310,1517390,2121070,1125090,1381730,2454300
"Montipora_capitata_HIv3___RNAseq.17993_t",14708200,9090230,8751940,10954000,8747150,15050500,13639300,14378500,16241700,9071060,9693060,13543200,12934300,11297600,13241600,7788330,9006690,16685700,10013700,13519300,17231200,15270400,11690800,15600200,12764400,10844400,9947120,11697500,9968630,13132600,12233500,14480600,14228500,7817380,13268700,13818500
"Montipora_capitata_HIv3___RNAseq.18025_t",10534400,1859820,2016830,3246380,3961520,2776980,5261480,8595450,11915000,3004350,1977570,4830040,14839500,7316160,2518230,1606360,1443400,10054200,NA,9799910,8123490,1870780,12660100,3980970,10659200,1893580,3463160,6614960,4642290,16896400,18825500,3628830,10496000,1456670,7583870,6555380
"Montipora_capitata_HIv3___RNAseq.18068_t",3293750,2720260,1829160,4114380,3064890,3638850,2523640,3852610,3921020,2870670,1636310,3075190,6018940,5311340,3210370,2597820,2526800,5111230,2092970,4978150,4527940,2936580,4676860,3783350,4695900,3374060,3347300,4839890,4352840,5688860,5738050,3833210,4862350,2673920,4421120,5195250
"Montipora_capitata_HIv3___RNAseq.18326_t",NA,NA,NA,113119,103176,121312,126977,NA,127611,NA,NA,NA,NA,NA,NA,121945,NA,120483,109759,NA,NA,NA,NA,136895,NA,NA,147487,213343,NA,NA,NA,125536,NA,44871.5,104198,NA
"Montipora_capitata_HIv3___RNAseq.18629_t",3605010,5770520,6413070,6681250,6191030,4818680,6357420,5350840,2502520,8769820,9593420,7140140,3889540,6032610,6508320,6361110,7907620,5568360,6485530,4658370,3559370,6101470,4315320,6833700,4269850,9027980,6609420,6854120,5452180,5915530,5754340,6211280,5021520,6313540,6468050,5096000
"Montipora_capitata_HIv3___RNAseq.18813_t",19822800,29683800,10012400,27519300,10565200,39073500,37822800,27524000,19153600,40340300,22629400,21102100,11129700,13423200,35641700,34641800,35829100,21630300,40583100,8592620,14703900,32216300,24398500,3808410,34881800,25966700,4965490,11282500,17973300,28836700,15400200,20318300,19791900,17590600,13556000,62153400
"Montipora_capitata_HIv3___RNAseq.18871_t",NA,340112,NA,362116,400049,1358470,508668,450042,941880,1011660,NA,NA,NA,170268,NA,370795,800048,NA,NA,NA,NA,604452,NA,254106,NA,NA,134160,NA,NA,NA,968541,574629,NA,385170,NA,NA
"Montipora_capitata_HIv3___RNAseq.19931_t",7990730,11210200,7225080,16818300,6076720,6133170,13241700,9741090,3175990,5462290,NA,10979000,6582870,8798440,12473400,7410690,4753480,9101290,7458000,7665930,8875540,9719990,6336020,9398050,7964960,12984200,7939240,10730200,9900810,5262780,3487680,11039800,8990390,4287410,9268810,12247700
"Montipora_capitata_HIv3___RNAseq.20218_t",NA,NA,NA,1234070,NA,3694760,NA,2570720,3119590,1349600,NA,NA,NA,NA,NA,NA,NA,1240540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669351,NA,NA
"Montipora_capitata_HIv3___RNAseq.20426_t",NA,NA,NA,NA,NA,138579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154006,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.20746_t",394326,2133460,1410580,920234,1453130,719798,1366920,NA,NA,1495660,1353850,1371760,NA,NA,1402250,3081330,2383250,NA,1826430,NA,332592,1422020,658710,1197050,NA,1464940,1968560,760756,746393,NA,150120,1320650,NA,3208790,1848880,NA
"Montipora_capitata_HIv3___RNAseq.20747_t",37136800,49237900,41964700,37069200,47222200,31278200,32334100,30744700,24207900,40636500,37512500,41327400,17623600,24406300,50413600,61548800,49939200,27212700,45216700,29824600,32369800,38717500,33113500,42726500,33346400,42690800,52107600,36861000,31553400,24871400,13077600,31567800,26769800,57161000,42601000,38540200
"Montipora_capitata_HIv3___RNAseq.20831_t",76633800,68057800,56260000,132031000,39906800,121451000,101926000,97046600,89906400,82545400,38389700,75718700,44507800,65813800,95171000,85391500,86186200,90691800,86773700,56353600,85907500,83013600,47215900,60796500,58625200,79199700,52613700,61276600,64346400,105626000,78998900,121522000,64376700,77135600,64376400,107787000
"Montipora_capitata_HIv3___RNAseq.20936_t",15053700,759076,761887,1830730,2551030,2944620,2352310,1597730,11628700,854549,752161,6199300,12756800,10656500,1240210,231061,NA,3259170,NA,10252300,7195070,1783400,16308700,1280440,7567360,NA,4073710,14302900,5980660,8367270,9620540,1463160,9632990,NA,7986710,5867470
"Montipora_capitata_HIv3___RNAseq.20956_t;Montipora_capitata_HIv3___RNAseq.20957_t",NA,454038,NA,1000700,322490,517651,665488,639387,737106,462384,NA,NA,541932,599900,NA,389393,516188,NA,NA,NA,NA,523266,NA,NA,NA,NA,NA,445410,NA,NA,NA,NA,525632,248230,NA,NA
"Montipora_capitata_HIv3___RNAseq.21109_t",12319300,11213300,8194420,12656400,5800510,12525900,10424900,9921480,9174240,7849720,3597720,7124960,6721250,8812090,11073900,9298700,8405100,6728500,10565900,6594740,10247900,14875400,9067040,5992490,7187250,5673090,7634370,8269200,11067300,4423620,5373120,11921200,9294710,6774830,8349460,11498800
"Montipora_capitata_HIv3___RNAseq.21256_t",292638,NA,NA,269856,NA,311903,NA,NA,254483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.21532_t",848718,705452,884349,290861,743886,1036120,NA,861051,568759,1074890,NA,568800,NA,707346,NA,220161,605791,NA,NA,NA,532928,952163,394121,NA,NA,NA,517736,378349,NA,NA,NA,594236,535354,724375,NA,NA
"Montipora_capitata_HIv3___RNAseq.21563_t;Montipora_capitata_HIv3___RNAseq.g45042.t1;Montipora_capitata_HIv3___RNAseq.g45050.t1a",633548,774723,403841,NA,NA,785573,184971,NA,NA,465575,NA,658058,362658,441860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190263,NA,NA,NA,NA,231493,NA,831559,NA,NA,756455,NA
"Montipora_capitata_HIv3___RNAseq.21580_t;Montipora_capitata_HIv3___RNAseq.g45056.t1;Montipora_capitata_HIv3___TS.g46191.t3;Montipora_capitata_HIv3___TS.g46192.t3;Montipora_capitata_HIv3___TS.g46194.t1",3445700,3935370,4068090,3724220,4212380,3476800,4298800,3039060,1788560,4070310,3714750,5776800,1000810,NA,2817260,2103450,3047150,2578610,2838060,1652540,NA,3366600,1746090,5007550,2245100,4078770,4821090,NA,1694400,3305940,NA,3640120,2727890,3378130,5207700,2771860
"Montipora_capitata_HIv3___RNAseq.21923_t",NA,557240,NA,NA,1385210,NA,632844,NA,NA,NA,1735750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836561,NA,NA
"Montipora_capitata_HIv3___RNAseq.22661_t",87824400,131507000,85813900,107870000,66875300,67717000,113724000,51539600,35103400,68319200,51743700,39640400,47215300,40778700,121507000,59156100,52009800,43740500,83245500,50613400,52267100,91582900,34937000,74295100,45122000,93645600,33332600,37532600,72757600,59348500,35817500,61647600,49386800,50920700,52143300,66669600
"Montipora_capitata_HIv3___RNAseq.23137_t",20660600,5135750,10199400,9832910,4788140,14008500,10471700,10903900,13838300,7690490,6160870,8481640,22447200,10657400,9573290,5104250,5710760,16513700,6421210,8439260,9478560,9653460,17351500,8153430,15496000,12918200,4216980,6215110,9603190,10657200,11556900,19877400,12086800,6470310,15540900,15167500
"Montipora_capitata_HIv3___RNAseq.23161_t",20675200,17937000,14157700,19188400,12124800,13241700,18773800,15179600,14644300,13464100,9065000,12949100,22080000,12419400,21754200,7676250,16788200,17561900,14104800,27493300,23252400,23939100,20325100,13789100,21033000,22285600,9500430,10421300,31162200,19652100,9347580,16400600,20251700,9239380,23069000,21936900
"Montipora_capitata_HIv3___RNAseq.23327_t",14669700,16254800,7938420,17027500,9334690,17277300,24218900,13752000,15291100,10666000,5798560,10650200,7584130,11141200,14376600,10681400,9702970,8285330,16139500,9897340,13880900,19903000,11134500,11174300,9618870,7033330,7049860,11132300,13626200,6792480,6280830,9650090,11813200,8541420,5746560,12529300
"Montipora_capitata_HIv3___RNAseq.23511_t",3763330,5579500,16474000,8392260,17311200,3428420,NA,2967560,NA,1710890,NA,NA,NA,1455260,NA,5088820,1672020,1615110,6390820,2758030,NA,NA,2061630,4494730,NA,7632610,3509400,2134560,NA,4542040,NA,5935720,NA,3250050,NA,NA
"Montipora_capitata_HIv3___RNAseq.23696_t;Montipora_capitata_HIv3___TS.g34043.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535146,616757,NA,NA,NA,NA,NA,NA,NA,NA,NA,727515,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.23725_t",6600520,4280300,5101740,5815810,5236760,8767750,6986000,5437400,3963470,4784060,3838290,6271820,6500150,6875620,7603110,4303470,4196040,7128160,4681200,5363430,6921120,5955590,6571060,5872310,5326380,4845070,4866840,5531920,4840560,5499360,7839410,6751990,6005210,4059320,4247150,5819550
"Montipora_capitata_HIv3___RNAseq.23737_t",1993880,NA,NA,NA,NA,1889200,NA,1719930,NA,NA,NA,NA,2484470,980926,NA,NA,NA,2392710,NA,NA,NA,NA,1983350,NA,2048540,NA,NA,NA,1761210,2129800,1803900,NA,NA,NA,1518790,1265830
"Montipora_capitata_HIv3___RNAseq.24234_t;Montipora_capitata_HIv3___RNAseq.g20964.t1",6663780,2898640,4758600,4492170,4671400,3043560,5783920,7015920,2531250,2632410,1693210,3899110,2968770,4376550,5202130,3200570,2319490,6078950,3608700,2354520,4798270,5121110,7465590,3517270,4590180,3521360,4357050,4469810,2854610,886700,1202520,4176010,3841120,2981260,3270820,5741820
"Montipora_capitata_HIv3___RNAseq.25908_t",NA,NA,NA,851553,1076380,1226660,1559350,706293,NA,1154680,NA,1386350,1029670,1658620,1502770,1015890,819517,764814,1452840,NA,494810,758512,351226,1504230,NA,NA,883454,639094,801962,862799,1085660,1383300,NA,1151380,1957480,NA
"Montipora_capitata_HIv3___RNAseq.2591_t",NA,NA,682346,1131130,1008250,NA,NA,NA,NA,NA,NA,894667,NA,NA,NA,949041,NA,NA,NA,NA,NA,903296,NA,NA,NA,NA,867683,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.26494_t",21928900,13097200,17074100,12798600,19624500,19160800,22047100,23520400,25953800,15612200,16111700,20229400,19728700,19783000,16435300,11614000,10474100,24064200,14745400,18640200,23301600,17100200,24426700,22171600,20431500,14342300,13186800,14011600,17194600,26135500,22896200,17864000,19386700,16630600,14344100,23987200
"Montipora_capitata_HIv3___RNAseq.26700_t",8310670,18088600,12853600,11293900,10957300,13756400,14878200,17116600,5240780,16554800,12386800,9602330,2690670,6355750,15783200,21327100,18591700,8299330,25157200,5693700,7903790,17867700,7577060,14716700,7314860,14010500,10796500,8819850,7090590,6369320,2168610,10825700,4614600,20996000,10340900,13300800
"Montipora_capitata_HIv3___RNAseq.27623_t",3761300,3379830,3881430,2173120,4678210,3197710,2215170,3769200,1073580,2022940,1649570,2081500,647076,1953530,3302700,4579640,4424280,1818860,1860980,NA,1563860,1907150,2594540,1836740,1415600,1347250,4146110,2253780,NA,NA,547897,2928810,1530810,2625100,2395970,1276400
"Montipora_capitata_HIv3___RNAseq.27741_t",13452600,6705920,9915540,10453200,9574130,13925200,10304600,14675200,15154000,8734460,6082270,9200580,13567100,11733300,9572820,7522470,7834950,14837000,8725100,10893600,14861700,10561600,11916800,11307400,11203300,9214610,8668460,9878380,12874900,14817400,12697700,12883500,12586500,9422930,13456600,10767500
"Montipora_capitata_HIv3___RNAseq.29032_t",275262,331569,303606,450159,317369,NA,374212,415155,NA,NA,546214,528541,NA,420611,NA,347956,NA,NA,388904,387588,NA,356518,557980,516486,NA,644163,468473,291394,NA,574314,NA,185116,NA,387576,513326,NA
"Montipora_capitata_HIv3___RNAseq.29251_t",6396060,NA,NA,839812,550001,1179910,1927560,NA,4257470,NA,NA,3092320,5118430,4131720,NA,NA,NA,2058170,NA,6451520,2951610,NA,5798520,1343650,5240130,538719,1319740,5111160,3917140,4852530,4522160,NA,3988860,NA,4245690,4022300
"Montipora_capitata_HIv3___RNAseq.29706_t",NA,NA,NA,228540,491735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355797,363648,NA,NA,NA,NA,206964,NA,NA,NA,NA,879010,664502,NA,NA,NA,NA,NA,597366,NA,NA
"Montipora_capitata_HIv3___RNAseq.29872_t",23356800,6289280,6490820,4693190,862981,16948700,3594460,13990800,17253700,4977500,6335480,9312710,17621200,9686690,1400260,2188700,7426040,15566600,6813790,3623050,1041110,3112590,8493410,4115400,16360700,9856670,3812990,6538100,3673940,15978400,17336000,24746100,1633170,3026550,14578100,8952390
"Montipora_capitata_HIv3___RNAseq.30619_t;Montipora_capitata_HIv3___RNAseq.g31273.t1",748857,NA,NA,314389,400026,238141,283526,NA,NA,NA,NA,NA,NA,607132,NA,NA,NA,NA,NA,NA,NA,NA,854311,NA,NA,NA,NA,NA,NA,NA,NA,NA,619052,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.3107_t",6758810,6921780,7658810,8882660,8349070,10547000,9584570,10267100,7855400,8294240,7982470,9814210,7529550,10150900,9735970,7913050,5836060,9416570,9037380,7672090,8905330,9952050,6311680,12467900,7192540,9129330,6928790,9609960,8548440,9634500,8718580,9882250,9327700,7710420,8234580,7872980
"Montipora_capitata_HIv3___RNAseq.32115_t",1638690,1114280,2287270,1489610,2519730,2273140,2494920,1501570,927301,2163200,2019570,2412750,1200170,2002930,1692470,1297540,2017210,2227810,2039010,1559550,1629740,2283210,1786740,1728100,1692800,2150000,1799570,2525740,1894190,1571610,1333210,2494700,1716380,2216280,1993060,2213740
"Montipora_capitata_HIv3___RNAseq.32244_t",1109310,NA,NA,1222240,742467,1333220,1444470,1670460,2114280,971404,NA,1462800,3723510,2568680,1525990,414293,NA,2311440,NA,3054740,2556110,844264,2335890,1665360,2812710,783400,586412,1568970,1971750,3278150,4139590,1839930,2898010,NA,1350840,2114630
"Montipora_capitata_HIv3___RNAseq.3294_t",645914,NA,453330,750524,490294,562100,799358,601587,334452,540420,NA,371903,NA,874575,798264,NA,NA,NA,NA,NA,529484,802582,602477,NA,NA,NA,808773,701126,NA,NA,473047,746150,550667,409989,NA,NA
"Montipora_capitata_HIv3___RNAseq.33169_t",2656930,5162330,3093000,2728940,2329380,5080810,3925310,4913790,2150070,3470740,3325560,4288930,1951830,2704820,3749060,4571080,7076720,2315750,5022880,2363800,2508830,3946400,2674460,2911750,2734050,4639420,5553670,3760920,1541510,3381080,2029120,3834620,2457940,6273600,3200430,3620340
"Montipora_capitata_HIv3___RNAseq.33535_t",NA,342914,NA,892026,985405,1044410,NA,NA,1089940,883414,NA,NA,NA,NA,NA,NA,715656,NA,NA,NA,1333320,1103530,NA,NA,NA,NA,837958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.33576_t",NA,NA,NA,NA,585699,NA,NA,NA,NA,332664,NA,NA,NA,NA,NA,742077,713800,NA,NA,NA,NA,NA,NA,NA,NA,NA,617754,NA,NA,NA,NA,NA,NA,809356,665425,NA
"Montipora_capitata_HIv3___RNAseq.34011_t;Montipora_capitata_HIv3___RNAseq.g34475.t1",2280040,1696930,1932710,2624730,4312110,2757230,2888990,3574370,2724630,2641440,3592550,1993880,1004070,2182790,2081430,4051250,2218320,2531470,2469970,1932390,2128250,2023910,2228720,2053270,1572180,1202450,2425460,3393260,1058550,4138290,1565560,3308730,2493140,2688780,3494280,1817850
"Montipora_capitata_HIv3___RNAseq.34111_t",4056700,1603490,1823870,3824490,2011030,3330130,2894190,3801090,3706820,2248610,2881540,3645270,5706140,4540640,1948690,1565990,1811540,4740200,1902740,6363250,3717320,2531530,5677470,3387280,5040460,2460260,2385710,4273120,5444150,5271310,5696340,3731950,4121400,1832930,3861530,4133850
"Montipora_capitata_HIv3___RNAseq.3466_t",NA,NA,NA,874209,749116,979403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114420,NA,NA,NA,221144,138362,NA,NA,NA,NA,NA,142991,NA,NA
"Montipora_capitata_HIv3___RNAseq.34984_t",1709710,1648160,1283600,3134140,2460130,7708160,4193460,4131750,10712000,4149470,4150730,4352360,2271840,5419460,3991480,2135620,2536960,5089560,2197080,4531500,5765930,3929030,3756940,4254130,3860510,1591400,2083880,3959640,3541680,11759300,13457600,2749480,6608600,1745860,1719700,3308740
"Montipora_capitata_HIv3___RNAseq.35138_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315448,314412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.35221_t",3780560,5615390,4573020,4423950,4748620,5549500,5375270,3163180,2857000,4708890,4729630,6583450,3345110,3848550,5903510,4403680,5593960,3265890,5870400,4542340,3871280,4780710,3578910,5794790,3265110,4924910,5479750,4235820,3645740,3750030,2588180,5139310,3562530,4309430,7513650,5317250
"Montipora_capitata_HIv3___RNAseq.35314_t",NA,NA,NA,NA,NA,1023450,NA,NA,NA,1273460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611049,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.35320_t",6001670,NA,3736330,2729010,3512510,4480230,7464340,5688900,3674630,4143430,2999380,4260970,6240390,4048240,7829130,1503830,3290940,6270070,NA,NA,6855550,6768350,5219590,2800220,8098250,4827160,2515120,3289470,NA,5136100,4506340,6158410,6280780,2857830,4677740,7188610
"Montipora_capitata_HIv3___RNAseq.3571_t",2900530,1711350,2186160,3739940,2540970,3973660,3338040,3106920,3228320,2610730,1825650,2413180,3241710,3130870,2557040,1474160,1854340,3381310,2029690,3198590,2705460,3102510,3037620,2788620,3409930,2523940,1747500,2814060,2903620,3218620,2941390,3203780,3059380,1608980,2243220,3537380
"Montipora_capitata_HIv3___RNAseq.35734_t",2348850,20229600,6899630,6267490,3743800,1658760,1922580,1646600,3416690,NA,5591860,3275850,NA,NA,NA,NA,NA,3162080,NA,NA,NA,4274960,NA,NA,NA,NA,NA,2032950,NA,NA,1146400,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.35946_t",NA,707275,NA,NA,NA,NA,NA,1049850,NA,NA,NA,816661,NA,1182570,NA,NA,NA,NA,NA,NA,NA,NA,523300,NA,NA,NA,997946,1111180,NA,NA,NA,NA,NA,968660,NA,NA
"Montipora_capitata_HIv3___RNAseq.37201_t",NA,NA,NA,76369.6,86289.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.37413_t",2135520,6545570,5135440,3968680,7423680,3519990,4720680,3806530,1471000,6122980,6730920,6282560,973736,2799740,7439430,7602470,7000790,2655220,5502040,1969170,2811770,5162580,4204500,5568280,2534140,5468070,8482000,6768440,2585550,3934260,1374740,2813650,3531840,5629240,5681370,4002230
"Montipora_capitata_HIv3___RNAseq.3753_t",582638,2020330,1372490,607366,860350,946313,1477180,NA,NA,1064290,614534,NA,NA,NA,NA,631817,1301740,1011820,778666,NA,1018020,1480730,NA,732389,NA,925283,950102,NA,848842,NA,NA,1378970,NA,1549160,NA,NA
"Montipora_capitata_HIv3___RNAseq.3772_t",2077520,1757060,2711990,2867000,3420860,2138340,778001,1828310,793574,1195400,2809180,NA,NA,NA,NA,1475130,1356620,NA,727803,NA,NA,1516400,1114330,2155050,NA,NA,2325940,1592150,NA,NA,NA,NA,NA,1902710,1774770,NA
"Montipora_capitata_HIv3___RNAseq.3787_t",174433000,43892400,128893000,71886500,148505000,123893000,172443000,147251000,166366000,61195000,96739900,143998000,210056000,174255000,76702200,54252800,38204800,152422000,73549100,167711000,134751000,105337000,122883000,155778000,178014000,60352300,83582200,198546000,137272000,251782000,398651000,116060000,161078000,65903100,154290000,139850000
"Montipora_capitata_HIv3___RNAseq.38369_t",1946650,1487520,1422010,1913610,1558750,2368140,2721520,1573740,2284320,1081320,1298570,2571700,1788080,1841830,2286880,1098500,1301540,2489160,1562470,1833340,2007940,1882000,2345330,2136520,2328730,1812670,1014900,1278210,2466740,1553820,2714870,2688380,2411120,946933,1623290,2503090
"Montipora_capitata_HIv3___RNAseq.3837_t",6010370,7758180,8169700,8186100,9699490,8130820,7122180,8332970,4708450,7827010,7650950,6884180,3903440,4840780,7666730,9482140,10233700,5100760,9945650,4113710,4607660,8118710,4244710,9125740,4791710,7287850,9382860,7957360,4822820,4643500,4315680,7061760,5125670,4965080,11902000,6566260
"Montipora_capitata_HIv3___RNAseq.38454_t",83791900,72847400,73112900,91279200,51181200,85393100,86500600,74063000,77155600,79226900,59603100,96129500,99573300,118421000,78473100,46445600,54832800,79271500,65103700,78832200,102728000,80302300,87909000,94455200,97773700,99153000,55536000,99458500,105241000,113311000,93653800,89990100,83351300,42230000,96063900,93953200
"Montipora_capitata_HIv3___RNAseq.38880_t",543169,NA,355812,703360,308114,689381,640859,769426,666505,563872,1054440,752196,1188670,708996,NA,404595,NA,873339,NA,1015380,651867,522400,761304,297083,1035470,574290,397954,385983,1247180,1367510,2117490,733271,649911,421845,563293,964558
"Montipora_capitata_HIv3___RNAseq.39395_t",986594,1089680,2196690,NA,961594,1530840,NA,1917980,696103,1780460,2741190,NA,NA,NA,NA,NA,831742,1420500,NA,NA,NA,863000,670637,997486,NA,1490680,NA,NA,NA,NA,NA,2326100,NA,1130540,1823960,NA
"Montipora_capitata_HIv3___RNAseq.3961_t",NA,812819,1825060,1401380,6595250,1400510,3602140,1918680,NA,2706860,1758130,2178110,NA,1125750,3840830,5486900,2622400,NA,2937790,NA,1690930,3061660,NA,3720490,NA,NA,2705530,2090510,NA,NA,NA,1114340,1231490,4009020,3105420,NA
