"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.g35290.t1",9132350,NA,5881060,7352140,14093500,6868890,7965290,4249750,2238880,7478440,NA,10621400,NA,4961150,7479620,14261500,8840340,3047450,16483600,10811800,3507700,5853780,5232660,10542800,5548840,NA,17620300,11284100,6321990,5840880,1332310,5030690,3249470,4817550,10260300,6575560
"Montipora_capitata_HIv3___RNAseq.g35292.t1",8281200,15147600,12368400,10403600,11253700,11739000,15270300,12222800,6707110,15066400,7840280,9268740,6699920,8520930,10512900,15906600,17796900,6011680,19334800,4004400,8517940,12763700,5894110,11634300,4328440,11298600,9946000,10084200,4938470,7797130,6334150,10680600,6750680,11388500,9653000,6133020
"Montipora_capitata_HIv3___RNAseq.g35295.t2",1975550,NA,1987570,2243240,2264320,2439300,4855440,538821,280618,1646200,1791110,981856,NA,858530,3563130,1853750,2682960,875829,1564030,NA,NA,2119140,NA,1431690,NA,1650440,1706530,1481020,663670,NA,NA,2350730,1126210,2324570,793902,NA
"Montipora_capitata_HIv3___RNAseq.g35296.t2",2070550,1126550,880146,2282470,1135110,1661750,1589540,2552400,2774990,1235310,1095560,2047160,3057080,2959740,1887780,661339,NA,2202960,614006,2314830,2710590,1613020,2776350,1812160,2847310,1494420,1844410,2828220,2855920,3399030,2702070,1642820,3204540,909508,2211660,2356730
"Montipora_capitata_HIv3___RNAseq.g35300.t1",23723000,9666180,9360670,16875300,10240600,20977200,16278700,24963200,29982300,12086000,11017400,16935300,23411300,21511200,17597500,7856500,8783110,22844500,12788300,24930000,25298500,16848500,24401600,17325100,25601300,12783300,13282500,18831900,23527100,25911700,21602800,19525900,26096500,9843700,15593600,20027600
"Montipora_capitata_HIv3___RNAseq.g35315.t1",7089240,11459900,3094920,13382600,6491630,14434500,53718500,7879230,10040200,9914910,9231290,15845300,7716500,13464500,17847100,2614500,7832160,9829080,5597890,14700500,13662300,18393300,15339300,7198400,10970900,2835790,8240770,9390120,9849650,10188300,14231200,4708220,16118400,5043140,5155480,16112500
"Montipora_capitata_HIv3___RNAseq.g35320.t1",75603600,117494000,33681600,123130000,67267500,151216000,209064000,102330000,102700000,63387600,26329200,122779000,44595000,130963000,119941000,27045300,63113700,76015300,48209300,97787400,139088000,180688000,103392000,60116800,92508700,27087000,98188300,102501000,126189000,70864400,83301800,33534200,139722000,53279600,45212800,178494000
"Montipora_capitata_HIv3___RNAseq.g35322.t1",162822000,127544000,75439500,74953400,71120800,72498800,342042000,54197700,72960600,158319000,103832000,162248000,142617000,127208000,199112000,19311400,25798000,137357000,70958800,219138000,135470000,136806000,210304000,85464000,190781000,80044400,45970000,136555000,194870000,186155000,193597000,73118200,189679000,27744600,61626600,174098000
"Montipora_capitata_HIv3___RNAseq.g35323.t1",1120110,NA,NA,1553950,482582,828275,NA,722638,1112600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956613,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.g35324.t1",15579600,20506300,18068300,13566400,15623500,14243200,25570100,12348000,6744770,15417900,14609500,19478000,3890180,10060500,20593600,14810600,18204200,7522730,18063700,5325110,8318440,14313800,8678630,13252100,6687230,11465200,16496500,21229900,8700040,7684120,10141300,12072300,11274000,13476200,13975900,10118900
